A,12P,14P,15P,16P,12S,14S,15S,16S
1,138,140,197,184,230,233,341,323
2,138,140,197,184,220,228,341,323
3,138,122,197,184,227,230,311,330
4,138,122,197,184,205,203,311,270
5,138,141,197,184,232,242,311,351
6,190,188,120,155,373,360,245,307
7,180,171,119,127,351,337,243,261
8,127,131,119,152,239,243,322,296
9,127,140,119,152,240,243,293,283
10,115,117,119,148,235,239,338,289
11,115,135,120,148,273,263,243,239
12,115,135,120,148,211,219,243,239
13,112,119,120,148,219,228,320,300
14,110,123,120,169,234,241,320,301
15,110,194,217,209,291,280,309,295
16,148,146,129,129,259,249,241,241
17,157,157,147,129,259,257,242,328
18,157,189,143,160,346,330,250,273
19,157,179,130,149,336,321,241,273
20,157,141,136,174,240,245,251,319
21,111,115,136,174,226,237,320,309
22,111,190,136,143,360,346,245,260
23,111,190,136,143,237,239,245,310
25,165,158,104,127,349,334,234,270
26,165,158,104,130,349,253,233,248
27,165,158,139,151,310,300,247,273
28,165,158,139,151,310,244,221,219
29,165,158,139,151,338,331,243,300
30,137,141,160,151,236,243,282,328
31,137,141,160,151,236,243,243,271
32,137,185,160,131,236,325,244,270
33,137,133,102,94,236,325,310,293
34,137,150,154,156,250,247,257,270
35,137,150,154,156,250,317,269,238
36,137,160,154,171,250,281,245,297
37,147,148,154,136,250,296,263,271
38,147,148,154,174,381,361,313,292
39,135,130,154,174,233,232,313,253
40,135,167,185,175,251,247,292,284
41,135,125,185,175,212,220,251,304
42,105,115,135,178,230,242,262,330
43,105,115,135,178,232,245,298,330
44,105,140,75,112,330,311,208,276
49,241,240,75,112,344,363,413,276
50,113,121,75,112,222,232,299,348
51,113,143,110,108,300,278,240,232
53,91,99,110,108,191,199,240,232
54,91,97,110,108,200,217,240,311
56,91,97,110,108,218,231,273,280
57,91,97,110,108,203,208,273,280
59,91,132,110,108,224,239,273,358
60,91,116,110,108,227,229,273,350
64,177,175,110,125,343,333,244,275
65,177,185,116,125,353,351,232,307
69,177,185,116,125,234,241,232,300
70,177,158,108,125,343,334,244,275
71,177,140,108,125,241,238,244,272
72,177,140,108,125,241,213,244,267
73,110,113,108,125,218,229,252,320
74,110,113,101,133,218,328,247,269
75,110,113,101,133,235,245,247,269
77,110,102,101,133,250,238,242,265
79,110,102,101,133,228,238,242,265
80,110,102,101,133,250,253,242,311
82,110,102,101,133,348,334,245,280
86,110,110,101,133,225,237,245,280
89,110,110,101,133,225,277,245,231
90,110,110,101,133,225,270,245,237
94,110,110,101,133,240,231,245,260
96,110,160,101,131,270,264,232,219
97,110,149,101,131,270,267,271,219
98,110,149,101,131,290,287,271,221
99,110,163,143,131,290,291,248,242
100,110,163,143,131,309,291,261,211
104,110,163,143,131,298,289,261,242
107,110,163,118,131,365,347,242,297
114,110,162,118,131,365,332,240,230
201,110,162,118,131,249,241,332,232
202,110,162,118,131,263,251,260,243
203,110,138,120,100,300,286,260,239
204,110,95,120,100,220,230,260,310
205,110,95,120,100,203,230,260,210
206,110,95,120,100,229,239,260,210
207,110,95,120,100,228,234,260,210
208,110,95,120,100,241,245,260,292
209,110,123,120,158,220,236,260,290
210,110,123,120,158,227,229,260,250
211,110,123,120,158,227,282,260,236
212,110,121,120,158,219,227,262,307
213,110,121,120,158,219,383,272,307
214,110,121,120,158,219,383,234,348
215,110,121,120,158,227,220,234,348
216,110,121,120,158,215,215,321,285
217,110,121,120,158,227,239,321,285
218,110,121,120,158,170,189,264,291
219,110,121,120,158,204,213,264,282
220,110,121,120,158,242,245,264,282
221,110,121,120,158,262,251,264,282
222,110,121,120,158,232,242,264,282
223,110,121,120,158,306,301,226,320
224,110,94,120,112,231,231,226,239
225,110,94,120,112,241,235,226,270
226,110,94,120,112,202,192,226,230
227,110,94,120,112,202,274,226,230
228,110,94,120,112,202,226,226,218
229,110,94,120,112,193,202,226,266
230,110,94,120,112,301,283,242,220
231,110,94,120,112,301,330,232,275
232,110,94,120,112,301,330,285,269
233,110,94,120,112,301,315,238,270
234,110,94,138,112,334,321,243,302
235,110,94,138,112,334,321,200,236
236,110,94,138,112,334,251,276,231
237,110,94,138,112,334,252,230,248
238,110,94,138,112,331,317,227,280
239,110,94,138,112,331,300,241,299
240,110,94,138,112,331,291,241,323
241,110,94,138,70,331,278,241,231
242,110,94,115,154,331,342,247,318
243,110,94,115,154,264,253,239,236
244,110,94,115,154,264,339,230,261
245,110,94,115,154,264,304,234,208
246,110,163,115,154,264,293,229,248
248,110,163,115,154,264,228,224,220
249,110,163,115,154,264,275,277,237
250,110,163,115,154,264,282,270,222
251,110,155,115,121,264,310,270,242
252,110,155,115,121,264,289,270,243
253,110,155,115,121,264,244,270,340
254,110,155,115,121,264,225,270,246
255,110,155,115,121,264,289,275,247
256,110,155,115,121,264,305,275,240
257,110,180,115,121,264,318,249,300
258,110,180,115,121,264,247,253,200
259,110,180,115,121,268,246,254,237
260,110,180,115,121,268,271,260,220
261,110,180,115,121,268,271,260,290
262,110,180,115,121,268,282,260,230
263,110,180,115,121,268,301,219,230
264,110,180,115,121,268,220,219,300
265,110,180,115,121,268,297,247,300
266,110,180,115,121,241,241,222,300
267,110,180,115,121,241,264,242,178
268,110,180,115,121,241,264,242,240
269,110,180,115,121,241,264,242,193
270,110,180,115,121,241,237,242,232
271,110,180,133,121,241,237,249,333
272,110,180,133,110,241,315,249,245
273,110,180,133,110,241,222,249,190
274,110,180,133,110,241,291,249,233
275,110,180,133,110,241,291,249,175
276,110,180,133,110,241,190,263,270
277,110,180,133,110,241,267,227,270
278,110,180,133,110,241,267,227,238
279,110,180,133,110,241,224,238,240
280,110,180,133,110,241,290,240,200
281,95,95,133,110,240,235,240,280
282,95,95,110,106,240,338,282,279
283,95,178,110,106,240,302,267,252
284,95,178,110,106,240,302,268,243
285,171,165,110,89,240,302,242,285
286,171,165,118,89,240,302,248,321
287,171,165,118,89,240,330,246,272
288,171,165,118,89,240,185,246,280
289,171,165,118,89,240,277,239,280
290,171,165,118,89,240,263,240,250
